index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,lineID,bulbonline,Universe,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,globalposition_x,globalposition_y,globalposition_z,AmI_0axis_IndicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal,AmI_Xaxis_indicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Yaxis_indicatorLocal
114,0.1084,5.9833,4.9385,11.3959,0.7100,-0.7100,3,18,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,0.0418,6.2963,4.9724,11.3959,0.5900,-0.5900,3,19,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,-0.0247,6.6093,5.0162,11.3959,0.4452,-0.4452,3,20,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117,-0.0912,6.9223,5.0697,11.3959,0.3529,-0.3529,3,21,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,-0.1578,7.2353,5.1328,11.3959,0.3683,-0.3683,3,22,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119,-0.2243,7.5483,5.2056,11.3959,0.4788,-0.4788,3,23,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,-0.2908,7.8613,5.2880,11.3959,0.5799,-0.5799,3,24,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121,-0.3573,8.1743,5.3800,11.3959,0.7548,-0.7548,3,25,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,-0.4239,8.4873,5.4820,11.3959,0.9754,-0.9754,3,26,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,-0.4904,8.8003,5.5938,11.3959,1.2107,-1.2107,3,27,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
